_id,gigsterApproved,pmApproved,seApproved
ObjectId(5471f643f2b1c802009738df),%!s(bool=false),,
ObjectId(547203bcf2b1c802009738e7),%!s(bool=false),,
ObjectId(54721ce6f2b1c802009738ea),%!s(bool=false),,
ObjectId(5472431640b8e10200dad566),%!s(bool=false),,
ObjectId(5472580340b8e10200dad573),%!s(bool=false),,
ObjectId(54725e7440b8e10200dad57d),%!s(bool=false),,
ObjectId(547260ef40b8e10200dad585),%!s(bool=false),,
ObjectId(5472764240b8e10200dad58d),%!s(bool=false),,
ObjectId(54727f6140b8e10200dad58f),%!s(bool=false),,
ObjectId(54728fe840b8e10200dad594),%!s(bool=false),,
ObjectId(5472b6fa40b8e10200dad5a4),%!s(bool=false),,
ObjectId(5472fe0140b8e10200dad5b8),%!s(bool=false),,
ObjectId(547345a540b8e10200dad5d9),%!s(bool=false),,
ObjectId(547345db40b8e10200dad5db),%!s(bool=false),,
ObjectId(547348ca40b8e10200dad5de),%!s(bool=false),,
ObjectId(5473499e40b8e10200dad5e0),%!s(bool=false),,
ObjectId(54734a9b40b8e10200dad5e2),%!s(bool=false),,
ObjectId(5473529b40b8e10200dad5ec),%!s(bool=false),,
ObjectId(547352de40b8e10200dad5ef),%!s(bool=false),,
ObjectId(547352f440b8e10200dad5f1),%!s(bool=false),,
ObjectId(5473533b40b8e10200dad5f9),%!s(bool=false),,
ObjectId(547353d740b8e10200dad60b),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(5473545940b8e10200dad614),%!s(bool=false),,
ObjectId(547354cb40b8e10200dad61a),%!s(bool=false),,
ObjectId(547355c940b8e10200dad621),%!s(bool=false),,
ObjectId(5473561640b8e10200dad626),%!s(bool=false),,
ObjectId(547357d240b8e10200dad635),%!s(bool=false),,
ObjectId(5473584740b8e10200dad638),%!s(bool=false),,
ObjectId(547358b440b8e10200dad63a),%!s(bool=false),,
ObjectId(54735a5440b8e10200dad648),%!s(bool=false),,
ObjectId(54735af340b8e10200dad64b),%!s(bool=false),,
ObjectId(547363c340b8e10200dad669),%!s(bool=false),,
ObjectId(5473691540b8e10200dad677),%!s(bool=false),,
ObjectId(5473715f40b8e10200dad67f),%!s(bool=true),%!s(bool=false),%!s(bool=false)
ObjectId(547372c040b8e10200dad681),%!s(bool=false),,
ObjectId(5473796e40b8e10200dad68f),%!s(bool=false),,
ObjectId(5473849940b8e10200dad6a0),%!s(bool=false),,
ObjectId(547388f140b8e10200dad6aa),%!s(bool=false),,
ObjectId(54738b1840b8e10200dad6ad),%!s(bool=false),,
